Date,Time,PM2.5,PM10,SO2,CO,O3,NO2,Max,Critical Component,Category
4/1/2021,00:00:00,45.0,19.0,21.0,15.0,8.0,3.0,21,PM2.5,Good
4/1/2021,01:00:00,44.0,18.0,20.0,14.0,8.0,3.0,20,PM2.5,Good
4/1/2021,02:00:00,43.0,17.0,20.0,14.0,7.0,3.0,20,PM2.5,Good
4/1/2021,03:00:00,40.0,17.0,20.0,13.0,7.0,3.0,20,PM2.5,Good
4/1/2021,04:00:00,38.0,16.0,19.0,12.0,7.0,3.0,19,PM2.5,Good
4/1/2021,05:00:00,35.0,14.0,19.0,12.0,7.0,3.0,19,PM2.5,Good
4/1/2021,06:00:00,34.0,14.0,19.0,12.0,7.0,3.0,19,PM2.5,Good
4/1/2021,07:00:00,33.0,13.0,19.0,11.0,7.0,3.0,19,PM2.5,Good
4/1/2021,08:00:00,31.0,13.0,19.0,11.0,7.0,3.0,19,PM2.5,Good
4/1/2021,09:00:00,31.0,13.0,19.0,11.0,7.0,3.0,19,PM2.5,Good
4/1/2021,10:00:00,31.0,12.0,19.0,11.0,7.0,3.0,19,PM2.5,Good
4/1/2021,11:00:00,31.0,12.0,19.0,11.0,8.0,3.0,19,PM2.5,Good
4/1/2021,12:00:00,31.0,12.0,19.0,11.0,8.0,3.0,19,PM2.5,Good
4/1/2021,13:00:00,32.0,13.0,19.0,11.0,8.0,3.0,19,PM2.5,Good
4/1/2021,14:00:00,32.0,13.0,19.0,11.0,7.0,3.0,19,PM2.5,Good
4/1/2021,15:00:00,33.0,13.0,19.0,11.0,7.0,3.0,19,PM2.5,Good
4/1/2021,16:00:00,33.0,13.0,19.0,11.0,8.0,3.0,19,PM2.5,Good
4/1/2021,17:00:00,34.0,13.0,19.0,11.0,8.0,3.0,19,PM2.5,Good
4/1/2021,18:00:00,34.0,13.0,19.0,11.0,8.0,3.0,19,PM2.5,Good
4/1/2021,19:00:00,34.0,13.0,19.0,11.0,8.0,3.0,19,PM2.5,Good
4/1/2021,20:00:00,33.0,13.0,19.0,11.0,9.0,3.0,19,PM2.5,Good
4/1/2021,21:00:00,33.0,13.0,19.0,12.0,9.0,3.0,19,PM2.5,Good
4/1/2021,22:00:00,33.0,13.0,19.0,12.0,10.0,3.0,19,PM2.5,Good
4/1/2021,23:00:00,32.0,13.0,19.0,12.0,11.0,3.0,19,PM2.5,Good
4/2/2021,00:00:00,31.0,13.0,19.0,12.0,13.0,3.0,19,PM2.5,Good
4/2/2021,01:00:00,31.0,12.0,19.0,12.0,14.0,3.0,19,PM2.5,Good
4/2/2021,02:00:00,30.0,12.0,18.0,12.0,15.0,3.0,18,PM2.5,Good
4/2/2021,03:00:00,29.0,12.0,18.0,12.0,16.0,3.0,18,PM2.5,Good
4/2/2021,04:00:00,28.0,11.0,18.0,12.0,17.0,3.0,18,PM2.5,Good
4/2/2021,05:00:00,27.0,11.0,18.0,12.0,18.0,3.0,18,PM2.5,Good
4/2/2021,06:00:00,26.0,10.0,17.0,11.0,18.0,3.0,18,PM2.5,Good
4/2/2021,07:00:00,25.0,10.0,16.0,11.0,18.0,3.0,18,PM2.5,Good
4/2/2021,08:00:00,24.0,9.0,15.0,10.0,19.0,3.0,19,PM2.5,Good
4/2/2021,09:00:00,22.0,9.0,15.0,10.0,19.0,3.0,19,PM2.5,Good
4/2/2021,10:00:00,23.0,9.0,15.0,10.0,19.0,3.0,19,PM2.5,Good
4/2/2021,11:00:00,23.0,9.0,15.0,10.0,19.0,2.0,19,PM2.5,Good
4/2/2021,12:00:00,22.0,9.0,15.0,10.0,19.0,3.0,19,PM2.5,Good
4/2/2021,13:00:00,21.0,8.0,15.0,10.0,19.0,3.0,19,PM2.5,Good
4/2/2021,14:00:00,21.0,8.0,15.0,10.0,19.0,3.0,19,PM2.5,Good
4/2/2021,15:00:00,20.0,8.0,15.0,10.0,19.0,3.0,19,PM2.5,Good
4/2/2021,16:00:00,19.0,8.0,15.0,10.0,20.0,3.0,20,O3,Good
4/2/2021,17:00:00,19.0,8.0,15.0,10.0,20.0,3.0,20,O3,Good
4/2/2021,18:00:00,20.0,8.0,14.0,10.0,20.0,3.0,20,PM2.5,Good
4/2/2021,19:00:00,21.0,8.0,14.0,10.0,20.0,3.0,20,PM2.5,Good
4/2/2021,20:00:00,22.0,9.0,15.0,11.0,21.0,3.0,21,PM2.5,Good
4/2/2021,21:00:00,24.0,9.0,15.0,12.0,21.0,3.0,21,PM2.5,Good
4/2/2021,22:00:00,26.0,10.0,15.0,12.0,21.0,3.0,21,PM2.5,Good
4/2/2021,23:00:00,29.0,11.0,16.0,13.0,20.0,4.0,20,PM2.5,Good
4/3/2021,00:00:00,31.0,12.0,16.0,13.0,19.0,4.0,19,PM2.5,Good
4/3/2021,01:00:00,33.0,13.0,16.0,13.0,18.0,4.0,18,PM2.5,Good
4/3/2021,02:00:00,34.0,13.0,16.0,14.0,17.0,4.0,17,PM2.5,Good
4/3/2021,03:00:00,36.0,14.0,17.0,14.0,16.0,4.0,17,PM2.5,Good
4/3/2021,04:00:00,39.0,15.0,17.0,15.0,15.0,4.0,17,PM2.5,Good
4/3/2021,05:00:00,42.0,16.0,18.0,15.0,15.0,4.0,18,PM2.5,Good
4/3/2021,06:00:00,44.0,17.0,18.0,16.0,14.0,4.0,18,PM2.5,Good
4/3/2021,07:00:00,46.0,18.0,20.0,17.0,14.0,4.0,20,PM2.5,Good
4/3/2021,08:00:00,48.0,19.0,20.0,17.0,14.0,4.0,20,PM2.5,Good
4/3/2021,09:00:00,50.0,20.0,20.0,17.0,14.0,4.0,20,PM2.5,Good
